epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,23503.9,0.71075,0.49549,1.02148,0.92951,0.83448,0.86794,0.665,0.87839,0.45662,0.9935,0.0033175,0.0033175,0.0033175
137,23689.3,0.69653,0.49249,1.02132,0.92206,0.83155,0.86724,0.66522,0.87604,0.45801,0.99337,0.003268,0.003268,0.003268
138,23877,0.71557,0.49584,1.03059,0.93331,0.83348,0.8692,0.66685,0.87555,0.45696,0.99464,0.0032185,0.0032185,0.0032185
139,24066.6,0.71482,0.49101,1.02109,0.92903,0.83664,0.8722,0.6668,0.87175,0.45635,0.99412,0.003169,0.003169,0.003169
140,24255.6,0.69806,0.49141,1.01126,0.91836,0.84497,0.87092,0.66565,0.87156,0.45841,0.994,0.0031195,0.0031195,0.0031195
141,24441,0.72107,0.49979,1.03152,0.91769,0.84057,0.87054,0.66516,0.87184,0.4599,0.99356,0.00307,0.00307,0.00307
142,24625.6,0.7103,0.48343,1.02113,0.94112,0.83312,0.87204,0.66633,0.8723,0.4567,0.99334,0.0030205,0.0030205,0.0030205
143,24807.6,0.69978,0.47856,1.0102,0.93263,0.8331,0.86718,0.66713,0.87044,0.4546,0.9923,0.002971,0.002971,0.002971
144,24996.8,0.72203,0.48639,1.02605,0.93252,0.8377,0.87122,0.66875,0.86892,0.45648,0.99084,0.0029215,0.0029215,0.0029215
145,25200.5,0.70136,0.48765,1.01449,0.92614,0.84044,0.86879,0.66785,0.87101,0.45459,0.99245,0.002872,0.002872,0.002872
146,25387,0.68744,0.4694,1.01283,0.92985,0.83981,0.87084,0.66996,0.86744,0.45278,0.99087,0.0028225,0.0028225,0.0028225
147,25590.5,0.70441,0.47368,1.01964,0.92189,0.83872,0.86924,0.6695,0.86639,0.45179,0.98988,0.002773,0.002773,0.002773
148,25775.2,0.71504,0.48092,1.02438,0.93013,0.83869,0.87034,0.66984,0.86739,0.45073,0.9902,0.0027235,0.0027235,0.0027235
149,25962.2,0.70747,0.4776,1.01545,0.93551,0.83127,0.86896,0.67034,0.86639,0.45019,0.98944,0.002674,0.002674,0.002674
150,26145.8,0.69355,0.47488,1.00893,0.93691,0.83036,0.86951,0.67063,0.86189,0.44816,0.98717,0.0026245,0.0026245,0.0026245
151,26330.6,0.69132,0.48495,1.01075,0.92193,0.84317,0.8693,0.67203,0.86214,0.44801,0.98676,0.002575,0.002575,0.002575
152,26517.2,0.70092,0.4697,1.0125,0.91504,0.84488,0.87009,0.67085,0.86371,0.44859,0.98727,0.0025255,0.0025255,0.0025255
153,26703.4,0.69685,0.47075,1.01165,0.91719,0.84311,0.87115,0.67113,0.86437,0.44878,0.98823,0.002476,0.002476,0.002476
154,26891.6,0.69695,0.47148,1.01552,0.92163,0.841,0.87089,0.67227,0.86294,0.4483,0.988,0.0024265,0.0024265,0.0024265
155,27076.2,0.68875,0.46676,1.00621,0.92488,0.84112,0.873,0.67245,0.86221,0.44868,0.98768,0.002377,0.002377,0.002377
156,27265.1,0.68143,0.46341,1.00739,0.93115,0.83568,0.87168,0.6719,0.85921,0.44859,0.98689,0.0023275,0.0023275,0.0023275
157,27451,0.70313,0.47853,1.01732,0.93975,0.83571,0.8716,0.67303,0.85836,0.44641,0.98667,0.002278,0.002278,0.002278
158,27634.4,0.67815,0.46644,1.01114,0.93917,0.83508,0.87164,0.67298,0.86003,0.4473,0.98619,0.0022285,0.0022285,0.0022285
159,27821.1,0.68033,0.46113,1.00678,0.9418,0.83541,0.87177,0.67332,0.85843,0.44469,0.98568,0.002179,0.002179,0.002179
160,28007.7,0.684,0.48679,1.00461,0.94398,0.83396,0.8718,0.67358,0.8585,0.44365,0.98675,0.0021295,0.0021295,0.0021295
161,28192.9,0.67657,0.46094,1.00494,0.94056,0.83479,0.87246,0.67315,0.85961,0.44454,0.98709,0.00208,0.00208,0.00208
162,28376.5,0.69282,0.46257,1.01494,0.9424,0.83572,0.87289,0.67298,0.86077,0.44359,0.98719,0.0020305,0.0020305,0.0020305
163,28562,0.68339,0.45388,1.00301,0.94041,0.8348,0.87374,0.67233,0.85967,0.44367,0.98582,0.001981,0.001981,0.001981
164,28746,0.67746,0.45444,1.00943,0.94122,0.83611,0.87303,0.67276,0.86065,0.44313,0.98636,0.0019315,0.0019315,0.0019315
165,28928.5,0.6586,0.44234,0.99587,0.93886,0.83522,0.87344,0.67296,0.86043,0.44381,0.98636,0.001882,0.001882,0.001882
166,29108,0.68293,0.45528,1.0044,0.94598,0.83451,0.87379,0.67501,0.8581,0.44302,0.98499,0.0018325,0.0018325,0.0018325
167,29289.7,0.69989,0.46426,1.0093,0.95246,0.83366,0.87441,0.67389,0.85784,0.44282,0.98459,0.001783,0.001783,0.001783
168,29470.4,0.67387,0.4606,1.00895,0.94577,0.83286,0.87431,0.67399,0.85881,0.44323,0.98475,0.0017335,0.0017335,0.0017335
169,29650,0.67059,0.45281,1.00409,0.93843,0.83822,0.87507,0.67327,0.85791,0.44445,0.98441,0.001684,0.001684,0.001684
170,29840.7,0.67415,0.45041,0.99742,0.94276,0.83528,0.87466,0.67292,0.85791,0.44352,0.98394,0.0016345,0.0016345,0.0016345
171,30019.5,0.67502,0.44915,1.00174,0.9412,0.83424,0.87366,0.67265,0.85692,0.44112,0.98344,0.001585,0.001585,0.001585
172,30217.2,0.6595,0.44951,0.99578,0.94386,0.83449,0.87434,0.67329,0.85752,0.44049,0.98332,0.0015355,0.0015355,0.0015355
173,30399.2,0.66071,0.4384,0.99627,0.91646,0.84626,0.87497,0.67387,0.85682,0.44065,0.98289,0.001486,0.001486,0.001486
174,30586.5,0.65676,0.43559,0.99559,0.91628,0.8449,0.87386,0.67329,0.85719,0.44123,0.98275,0.0014365,0.0014365,0.0014365
