epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,21281.6,0.73116,0.51971,1.02714,0.91665,0.84381,0.873,0.66373,0.88335,0.4674,0.99218,0.003961,0.003961,0.003961
124,21459.9,0.72648,0.51128,1.02834,0.91669,0.84225,0.87182,0.66265,0.87985,0.46488,0.99191,0.0039115,0.0039115,0.0039115
125,21651.8,0.73534,0.52154,1.03157,0.9235,0.83943,0.87361,0.66442,0.87951,0.46488,0.99064,0.003862,0.003862,0.003862
126,21836.8,0.72079,0.50463,1.02274,0.92728,0.83861,0.87184,0.66467,0.87775,0.4637,0.99019,0.0038125,0.0038125,0.0038125
127,22024.4,0.73043,0.51689,1.01691,0.92601,0.83586,0.8678,0.66415,0.87586,0.46122,0.98872,0.003763,0.003763,0.003763
128,22203.1,0.72495,0.504,1.02059,0.91936,0.84328,0.87149,0.66488,0.87331,0.45647,0.98734,0.0037135,0.0037135,0.0037135
129,22382.5,0.71408,0.49823,1.01552,0.93092,0.83673,0.87291,0.66771,0.87184,0.45575,0.98742,0.003664,0.003664,0.003664
130,22561.7,0.71707,0.49548,1.01385,0.9152,0.84306,0.87399,0.66492,0.87225,0.45874,0.98768,0.0036145,0.0036145,0.0036145
131,22741.5,0.72425,0.49733,1.02256,0.9223,0.83638,0.87352,0.66687,0.86891,0.45866,0.98563,0.003565,0.003565,0.003565
132,22916.5,0.7155,0.49347,1.01986,0.92743,0.83904,0.87601,0.66746,0.86827,0.45426,0.98448,0.0035155,0.0035155,0.0035155
133,23092.4,0.70813,0.4951,1.01977,0.93541,0.83457,0.87552,0.66607,0.87068,0.45598,0.98535,0.003466,0.003466,0.003466
134,23272.2,0.70394,0.49163,1.01169,0.9289,0.83981,0.87551,0.66492,0.87236,0.45524,0.98669,0.0034165,0.0034165,0.0034165
135,23447,0.71213,0.48817,1.01332,0.93221,0.83861,0.87374,0.66716,0.86795,0.453,0.98373,0.003367,0.003367,0.003367
136,23625.8,0.71186,0.49796,1.01897,0.92454,0.84028,0.87352,0.66851,0.86372,0.45036,0.98268,0.0033175,0.0033175,0.0033175
